date,current_rate,actual_future_rate,pred_p10,pred_p50,pred_p90,naive_pred,pred_delta_p50
2025-08-12,29.57,29.69,29.640879847108707,30.133280034020324,31.184065602720395,29.57,0.5632800340203232
2025-08-13,30.3,29.58,29.71131632476984,30.286361927941222,31.062105916441098,30.3,-0.01363807205877876
2025-08-14,30.07,30.6,29.677050806581363,30.2577555131463,31.123381398618832,30.07,0.1877555131462998
2025-08-15,30.26,29.94,29.81178782135187,30.433391804650206,31.240381978452817,30.26,0.17339180465020476
2025-08-16,30.48,30.07,29.682545877992496,30.294264073326964,31.294537328184262,30.48,-0.1857359266730363
2025-08-17,29.77,30.14,29.716326929628238,30.31508087630548,31.191601537168637,29.77,0.5450808763054802
2025-08-18,30.42,30.18,29.736291147767886,30.455364460900206,31.37518956512274,30.42,0.03536446090020462
2025-08-19,29.69,30.93,29.729710794984683,30.413391346886534,31.167286656797543,29.69,0.7233913468865332
2025-08-20,29.58,29.5,29.72209284454523,30.439678425743956,31.318571828306332,29.58,0.859678425743958
2025-08-21,30.6,29.71,29.680918909608707,30.3732283067254,31.176348470152035,30.6,-0.22677169327459978
2025-08-22,29.94,30.37,29.64495775848566,30.389833683922667,31.150667928159848,29.94,0.449833683922666
2025-08-23,30.07,30.73,29.531897760927066,30.280727620079894,31.255081914365903,30.07,0.21072762007989354
2025-08-24,30.14,30.47,29.440615870057925,30.20008301253595,31.141354344785825,30.14,0.060083012535947944
2025-08-25,30.18,30.8,29.503995157777652,30.34433769698419,31.163050435484067,30.18,0.16433769698419098
2025-08-26,30.93,30.11,29.5033294931048,30.219566578820128,31.203581593931332,30.93,-0.7104334211798715
2025-08-27,29.5,30.56,29.675811029970035,30.470440144493956,31.108437322080746,29.5,0.9704401444939563
2025-08-28,29.71,30.76,29.675545908510074,30.474373097374816,31.167002461851254,29.71,0.7643730973748148
2025-08-29,30.37,29.72,29.53033373504816,30.467396016075988,31.044409535825864,30.37,0.09739601607598658
2025-08-30,30.73,30.17,29.63276407867609,30.425136799767394,31.106768392027035,30.73,-0.3048632002326066
2025-08-31,30.47,30.81,29.67783472686945,30.352449650719542,31.24379422515692,30.47,-0.1175503492804566
2025-09-01,30.8,30.13,29.79090616851984,30.645277256920714,31.36521413177313,30.8,-0.15472274307928657
2025-09-02,30.11,30.9,29.814183451234683,30.56945633406915,31.240389607847348,30.11,0.4594563340691522
2025-09-03,30.56,30.23,29.62395403534113,30.373399968102355,31.14127042144598,30.56,-0.18660003189764396
2025-09-04,30.76,30.66,29.73031923919855,30.436132664635558,31.26239659637274,30.76,-0.3238673353644437
2025-09-05,29.72,30.59,29.75200007110773,30.532181019738097,31.392187856138364,29.72,0.8121810197380981
2025-09-06,30.17,29.81,29.71563074737726,30.543503041222472,31.414990209043637,30.17,0.37350304122247024
2025-09-07,30.81,29.51,29.641524530946597,30.408313984825988,31.310612462461606,30.81,-0.40168601517401115
2025-09-08,30.13,30.17,29.7391693368548,30.60940575118341,31.32103993743719,30.13,0.47940575118341044
2025-09-09,30.9,30.61,29.68699190765558,30.353319401696105,31.321251653135434,30.9,-0.5466805983038938
2025-09-10,30.23,29.98,29.75518152862726,30.454700703575988,31.354367040098325,30.23,0.22470070357598715
2025-09-11,30.66,30.19,29.64680979400812,30.557415242150206,31.382580541074887,30.66,-0.10258475784979382
2025-09-12,30.59,30.57,29.6600734964007,30.400181050255675,31.20336987823309,30.59,-0.18981894974432478
2025-09-13,29.81,30.47,29.707202173768863,30.36114143843927,31.32849194854559,29.81,0.5511414384392701
2025-09-14,29.51,29.92,29.660571314393863,30.45618080611505,31.268904469907895,29.51,0.9461808061150485
2025-09-15,30.17,30.18,29.638497568666324,30.515457386925597,31.04472615569891,30.17,0.34545738692559524
2025-09-16,30.61,30.41,29.596959330140933,30.491844410851378,31.047440312803403,30.61,-0.11815558914862123
2025-09-17,29.98,31.13,29.629981257020816,30.425224537804503,31.13768269866766,29.98,0.4452245378045028
2025-09-18,30.19,30.74,29.61423800140558,30.33809875960626,31.12518384307684,30.19,0.14809875960625973
2025-09-19,30.57,30.6,29.545394159852847,30.407558674767394,31.0672214254743,30.57,-0.16244132523260646
2025-09-20,30.47,29.9,29.558493830263004,30.346605534508605,30.91282918304266,30.47,-0.1233944654913941
2025-09-21,29.92,29.56,29.561585642396793,30.247139210656066,30.79168011993231,29.92,0.327139210656064
2025-09-22,30.18,29.96,29.558987833558902,30.211960072472472,30.88825299590887,30.18,0.031960072472472234
2025-09-23,30.41,29.95,29.256406046449527,29.739294285729308,30.800255559385434,30.41,-0.6707057142706923
2025-09-24,31.13,28.43,29.075421549379215,29.523735279992003,30.720623753965512,31.13,-1.6062647200079958
2025-09-25,30.74,28.98,29.047913767396793,29.38164925093927,30.800268910825864,30.74,-1.3583507490607296
2025-09-26,30.6,29.24,29.022017695009097,29.437669987633605,30.92597272247137,30.6,-1.1623300123663967
2025-09-27,29.9,29.11,29.12375185638605,29.431659932091613,30.81475903838934,29.9,-0.468340067908386
2025-09-28,29.56,29.55,29.054106928407535,29.37972473616876,30.915404103696957,29.56,-0.1802752638312377
2025-09-29,29.96,29.57,29.037446238099918,29.46938538070001,30.73786809295477,29.96,-0.49061461929998984
2025-09-30,29.95,28.75,29.115893580018863,29.56970047469415,30.700159810484067,29.95,-0.38029952530584765
2025-10-01,28.43,28.68,29.06910441070734,29.508917088463683,30.60432889312567,28.43,1.0789170884636832
2025-10-02,28.98,29.12,28.546174265443668,28.90246414656915,29.33661534637274,28.98,-0.07753585343084879
2025-10-03,29.24,30.01,28.391280390321597,28.627849812462706,29.48236729949774,29.24,-0.6121501875372921
2025-10-04,29.11,29.31,28.326071955263004,28.60219025130548,29.532618306577817,29.11,-0.5078097486945197
2025-10-05,29.55,28.82,28.311249949037418,28.615749592736144,29.47839429229559,29.55,-0.9342504072638569
2025-10-06,29.57,28.76,28.812745310365543,29.332006688073058,29.885388158262387,29.57,-0.2379933119269424
2025-10-07,28.75,30.17,28.799521662294254,29.34787010665216,29.914467595518246,28.75,0.5978701066521594
2025-10-08,28.68,28.53,28.266076304017886,28.629795308068175,29.34120061248602,28.68,-0.05020469193182464
2025-10-09,29.12,28.8,28.170352198182925,28.472576374962706,29.28493192046942,29.12,-0.6474236250372947
2025-10-10,30.01,29.35,28.141354776918277,28.6271345567254,29.46227338165106,30.01,-1.3828654432746
2025-10-11,29.31,29.69,28.72114298492609,29.26984810347833,29.911511205137387,29.31,-0.040151896521667396
2025-10-12,28.82,30.12,28.61349032074152,29.266868824913878,29.77935864776434,28.82,0.4468688249138779
2025-10-13,28.76,29.6,28.393555857240543,28.849086995079894,29.613455556333676,28.76,0.08908699507989226
2025-10-14,30.17,29.12,28.31329271942316,28.66081070418634,29.54935147613348,30.17,-1.5091892958136626
2025-10-15,28.53,28.42,28.683242060243472,29.121088261559386,29.788193486631528,28.53,0.5910882615593849
2025-10-16,28.8,28.89,28.44344637542902,28.889723057701964,29.30401112884344,28.8,0.08972305770196343
2025-10-17,29.35,28.93,28.36915323883234,28.746731038048644,29.503292821348325,29.35,-0.6032689619513576
2025-10-18,29.69,29.56,28.58582804351984,29.13484405989923,29.747059606016293,29.69,-0.5551559401007715
2025-10-19,30.12,28.17,28.74705050140558,29.269621128991027,29.878020070493832,30.12,-0.8503788710089744
2025-10-20,29.6,29.21,28.76299975067316,29.455160374596495,29.86232449859442,29.6,-0.14483962540350603
2025-10-21,29.12,28.92,28.74408648163019,29.430929417565245,29.81395985931219,29.12,0.3109294175652444
2025-10-22,28.42,29.0,28.33104632049738,28.710613484337706,29.538435719907895,28.42,0.2906134843377046
2025-10-23,28.89,28.64,28.36418841034113,28.67967819686212,29.27868726104559,28.89,-0.21032180313788018
2025-10-24,28.93,28.56,28.293898798524722,28.469434971764464,29.4331882223493,28.93,-0.4605650282355356
2025-10-25,29.56,29.22,28.122092463075504,28.304607624962706,29.255169652403012,29.56,-1.2553923750372924
2025-10-26,28.17,29.19,28.481400705873355,28.899626011803527,29.494137547910825,28.17,0.7296260118035249
2025-10-27,29.21,29.62,27.918357111513004,28.29346680159845,28.87955739349188,29.21,-0.9165331984015523
2025-10-28,28.92,28.92,27.93621180206476,28.205309147789855,29.057293675840512,28.92,-0.7146908522101469
2025-10-29,29.0,28.94,27.81734202057062,28.259771580651183,28.97321965545477,29.0,-0.7402284193488171
